ts,mem_used_mb,mem_total_mb,gpu_util,gpu_mem_util
1758873970.4699311,23871,24576,0,0
1758873970.9712179,23871,24576,0,0
1758873971.473303,23871,24576,0,0
1758873971.9745214,23871,24576,0,0
1758873972.4753544,23871,24576,0,0
1758873972.9769375,23871,24576,0,0
1758873973.478084,23871,24576,0,0
1758873973.9798133,23871,24576,0,0
1758873974.4811592,23871,24576,0,0
1758873974.981971,23871,24576,0,0
1758873975.4832041,23871,24576,0,0
1758873975.985885,23871,24576,0,0
1758873976.4876034,23871,24576,0,0
1758873976.9900699,23871,24576,0,0
1758873977.4912362,23871,24576,0,0
1758873977.9927864,23871,24576,0,0
1758873978.493721,23871,24576,0,0
1758873978.9952257,23871,24576,0,0
1758873979.4970298,23871,24576,0,0
1758873979.9983776,23871,24576,0,0
1758873980.499844,23871,24576,0,0
1758873981.0009186,23871,24576,0,0
1758873981.5024164,23871,24576,0,0
1758873982.0046508,23871,24576,0,0
1758873982.5064025,23871,24576,0,0
1758873983.007642,23871,24576,0,0
1758873983.509836,23871,24576,0,0
1758873984.0109048,23871,24576,0,0
1758873984.5124407,23871,24576,0,0
1758873985.014335,23871,24576,0,0
1758873985.5159147,23871,24576,0,0
1758873986.017256,23871,24576,0,0
1758873986.519635,23871,24576,0,0
1758873987.0209877,23871,24576,0,0
1758873987.522312,23871,24576,0,0
1758873988.0238752,23871,24576,0,0
1758873988.5246618,23871,24576,0,0
1758873989.0258045,23871,24576,0,0
1758873989.5274959,23871,24576,0,0
1758873990.028932,23871,24576,0,0
1758873990.5298204,23871,24576,0,0
1758873991.0308657,23871,24576,0,0
1758873991.5330951,23871,24576,0,0
1758873992.034155,23871,24576,0,0
1758873992.5358818,23871,24576,0,0
1758873993.0373256,23871,24576,0,0
1758873993.538896,23871,24576,0,0
1758873994.0399177,23871,24576,0,0
1758873994.541254,23871,24576,0,0
1758873995.0424716,23871,24576,0,0
1758873995.5441647,23871,24576,0,0
1758873996.0457742,23871,24576,0,0
1758873996.5466206,23871,24576,0,0
