request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
930bdaa6-4977-48e1-9273-72ce1ff204e8,1758871614.7345588,1758871614.7346387,,1758871614.734648,83,,,,"'""model""'"
1eb03964-116d-47af-a68c-6f512c13e04e,1758871614.753973,1758871614.7540524,,1758871614.754062,43,,,,"'""model""'"
98378c29-f47f-429f-acf5-7dc609339928,1758871614.7783747,1758871614.7784538,,1758871614.7784631,47,,,,"'""model""'"
6f9ad5df-b349-4103-86db-dc2dc249a476,1758871614.8177857,1758871614.8178656,,1758871614.8178751,105,,,,"'""model""'"
32b3cb79-88e6-40fd-99e1-5cd843427e95,1758871614.8482409,1758871614.8483212,,1758871614.8483307,116,,,,"'""model""'"
53a961a6-0249-4b3d-b894-df1b6ca94bac,1758871614.8676734,1758871614.8677537,,1758871614.8677633,82,,,,"'""model""'"
0e2c4a1b-ef15-4117-923c-36a42e7af05c,1758871614.8751009,1758871614.8751812,,1758871614.8751912,46,,,,"'""model""'"
a6fc797d-1858-4974-be84-41e46c28f943,1758871614.8795364,1758871614.8796198,,1758871614.879631,128,,,,"'""model""'"
a25b7238-911a-4eb4-8f64-faa9028dc771,1758871614.9089699,1758871614.9090505,,1758871614.9090598,57,,,,"'""model""'"
ca0fd57d-e448-474b-a5dd-1f7c153d8358,1758871614.912404,1758871614.912484,,1758871614.9124932,9,,,,"'""model""'"
0b5804cf-3717-48c6-bcdc-722f4b4758c9,1758871614.9127033,1758871614.9127634,,1758871614.9127705,18,,,,"'""model""'"
4e4b42dd-bb5a-4c19-9d6d-4211f21e45ca,1758871614.9180496,1758871614.9181292,,1758871614.9181387,32,,,,"'""model""'"
ad286c36-cf76-4da1-a7f9-eded564ff928,1758871614.956495,1758871614.9565752,,1758871614.9565845,107,,,,"'""model""'"
d1c2662a-8dc6-4e16-8aa7-56e589bb2e41,1758871614.9639246,1758871614.964004,,1758871614.9640145,107,,,,"'""model""'"
5a392ded-12a0-4083-ba13-6f3f151fa11f,1758871614.9983668,1758871614.998446,,1758871614.9984555,48,,,,"'""model""'"
